Title,URL,Description,Details,Journal,Year,Resource,Type,Identifiers,Db,EntrezUID,cDate,First_Author,University,Author_Number,pmid
Proton Adsorption Selectivity of Zeolites in Aqueous Media: Effect of Si/Al Ratio of Zeolites.,/pubmed/25493632,"Munthali MW, Elsheikh MA, Johan E, Matsue N.",Molecules. 2014 Dec 8;19(12):20468-20481.,Molecules, 2014,PubMed,citation,PMID:25493632,pubmed,25493632,2014/12/11 , Munthali MW,Khartoum,4,25493632
In vitro interaction of currently used azoles with terbinafine against Madurella mycetomatis.,/pubmed/25487799,"Ahmed SA, Kloezen W, Fahal AH, de Hoog GS, van de Sande WW.",Antimicrob Agents Chemother. 2015 Feb;59(2):1373-4. doi: 10.1128/AAC.04487-14. No abstract available.,Antimicrob Agents Chemother, 2015,PubMed,citation,PMID:25487799 | PMCID:PMC4335904,pubmed,25487799,2014/12/10 , Ahmed SA,Khartoum,5,25487799 | PMCID:PMC4335904
Subgingival microbial profiles of Sudanese patients with aggressive periodontitis.,/pubmed/25487558,"Elabdeen HR, Mustafa M, Hasturk H, Klepac-Ceraj V, Ali RW, Paster BJ, Van Dyke T, Bolstad AI.",J Periodontal Res. 2015 Oct;50(5):674-82. doi: 10.1111/jre.12250.,J Periodontal Res, 2015,PubMed,citation,PMID:25487558 | PMCID:PMC4646740,pubmed,25487558,2014/12/10 , Elabdeen HR,Khartoum,8,25487558 | PMCID:PMC4646740
Development of topical therapeutics for management of onychomycosis and other nail disorders: a pharmaceutical perspective.,/pubmed/25481439,Elsayed MM.,J Control Release. 2015 Feb 10;199:132-44. doi: 10.1016/j.jconrel.2014.11.017. Review.,J Control Release, 2015,PubMed,citation,PMID:25481439,pubmed,25481439,2014/12/08 , Elsayed MM,Khartoum,1,25481439
"Genome-wide identification and expression analysis of the CaNAC family members in chickpea during development, dehydration and ABA treatments.",/pubmed/25479253,"Ha CV, Esfahani MN, Watanabe Y, Tran UT, Sulieman S, Mochida K, Nguyen DV, Tran LS.",PLoS One. 2014 Dec 5;9(12):e114107. doi: 10.1371/journal.pone.0114107.,PLoS One, 2014,PubMed,citation,PMID:25479253 | PMCID:PMC4257607,pubmed,25479253,2014/12/06 , Ha CV,Khartoum,8,25479253 | PMCID:PMC4257607
Changes in fatty acid composition and distribution of N-3 fatty acids in goat tissues fed different levels of whole linseed.,/pubmed/25478601,"Abuelfatah K, Zakaria MZ, Meng GY, Sazili AQ.",ScientificWorldJournal. 2014;2014:934154. doi: 10.1155/2014/934154.,ScientificWorldJournal, 2014,PubMed,citation,PMID:25478601 | PMCID:PMC4244975,pubmed,25478601,2014/12/06 , Abuelfatah K,Khartoum,4,25478601 | PMCID:PMC4244975
Rapid identification of black grain eumycetoma causative agents using rolling circle amplification.,/pubmed/25474355,"Ahmed SA, van den Ende BH, Fahal AH, van de Sande WW, de Hoog GS.",PLoS Negl Trop Dis. 2014 Dec 4;8(12):e3368. doi: 10.1371/journal.pntd.0003368.,PLoS Negl Trop Dis, 2014,PubMed,citation,PMID:25474355 | PMCID:PMC4256478,pubmed,25474355,2014/12/05 , Ahmed SA,Khartoum,5,25474355 | PMCID:PMC4256478
"Chemical composition, antioxidant capacity, and mineral extractability of Sudanese date palm (Phoenix dactylifera L.) fruits.",/pubmed/25473506,"Mohamed RM, Fageer AS, Eltayeb MM, Mohamed Ahmed IA.",Food Sci Nutr. 2014 Sep;2(5):478-89. doi: 10.1002/fsn3.123.,Food Sci Nutr, 2014,PubMed,citation,PMID:25473506 | PMCID:PMC4237478,pubmed,25473506,2014/12/05 , Mohamed RM,Khartoum,4,25473506 | PMCID:PMC4237478
Purification and functional characterization of pancreatic insulin from camel (Camelus dromedarius).,/pubmed/25473366,"Elamin BA, Al-Maleki A, Ismael MA, Ayoub MA.",Saudi J Biol Sci. 2014 Dec;21(6):574-81. doi: 10.1016/j.sjbs.2014.03.001.,Saudi J Biol Sci, 2014,PubMed,citation,PMID:25473366 | PMCID:PMC4250478,pubmed,25473366,2014/12/05 , Elamin BA,Khartoum,4,25473366 | PMCID:PMC4250478
Insights into the possible role of IFNG and IFNGR1 in Kala-azar and Post Kala-azar Dermal Leishmaniasis in Sudanese patients.,/pubmed/25466928,"Salih MA, Fakiola M, Abdelraheem MH, Younis BM, Musa AM, ElHassan AM, Blackwell JM, Ibrahim ME, Mohamed HS.",BMC Infect Dis. 2014 Dec 3;14:662. doi: 10.1186/s12879-014-0662-5.,BMC Infect Dis, 2014,PubMed,citation,PMID:25466928 | PMCID:PMC4265480,pubmed,25466928,2014/12/04 , Salih MA,Khartoum,9,25466928 | PMCID:PMC4265480
Molecular characterization of oxacillinases among carbapenem-resistant Acinetobacter baumannii nosocomial isolates in a Saudi hospital.,/pubmed/25466594,"Elabd FM, Al-Ayed MS, Asaad AM, Alsareii SA, Qureshi MA, Musa HA.",J Infect Public Health. 2015 May-Jun;8(3):242-7. doi: 10.1016/j.jiph.2014.10.002.,J Infect Public Health, 2015,PubMed,citation,PMID:25466594,pubmed,25466594,2014/12/04 , Elabd FM,Khartoum,6,25466594
Potential impact of mangrove clearance on biomass and biomass size spectra of nematode along the Sudanese Red Sea coast.,/pubmed/25460061,"Sabeel RA, Vanreusel A.",Mar Environ Res. 2015 Feb;103:46-55. doi: 10.1016/j.marenvres.2014.11.003.,Mar Environ Res, 2015,PubMed,citation,PMID:25460061,pubmed,25460061,2014/12/03 , Sabeel RA,Khartoum,2,25460061
"Activity of the dietary flavonoid, apigenin, against multidrug-resistant tumor cells as determined by pharmacogenomics and molecular docking.",/pubmed/25459885,"Saeed M, Kadioglu O, Khalid H, Sugimoto Y, Efferth T.",J Nutr Biochem. 2015 Jan;26(1):44-56. doi: 10.1016/j.jnutbio.2014.09.008.,J Nutr Biochem, 2015,PubMed,citation,PMID:25459885,pubmed,25459885,2014/12/03 , Saeed M,Khartoum,5,25459885
In vivo formation of Plasmodium falciparum ribosomal stalk - a unique mode of assembly without stable heterodimeric intermediates.,/pubmed/25450178,"Wawiórka L, Krokowski D, Gordiyenko Y, Krowarsch D, Robinson CV, Adam I, Grankowski N, Tchórzewski M.",Biochim Biophys Acta. 2015 Jan;1850(1):150-8. doi: 10.1016/j.bbagen.2014.10.015.,Biochim Biophys Acta, 2015,PubMed,citation,PMID:25450178,pubmed,25450178,2014/12/03 , Wawiórka L,Khartoum,8,25450178
Genotyping and virological characteristics of hepatitis B virus in HIV-infected individuals in Sudan.,/pubmed/25449246,"Yousif M, Mudawi H, Hussein W, Mukhtar M, Nemeri O, Glebe D, Kramvis A.",Int J Infect Dis. 2014 Dec;29:125-32. doi: 10.1016/j.ijid.2014.07.002.,Int J Infect Dis, 2014,PubMed,citation,PMID:25449246,pubmed,25449246,2014/12/03 , Yousif M,Khartoum,7,25449246
Overt and occult hepatitis B virus infection in adult Sudanese HIV patients.,/pubmed/25449238,"Mudawi H, Hussein W, Mukhtar M, Yousif M, Nemeri O, Glebe D, Kramvis A.",Int J Infect Dis. 2014 Dec;29:65-70. doi: 10.1016/j.ijid.2014.07.004.,Int J Infect Dis, 2014,PubMed,citation,PMID:25449238,pubmed,25449238,2014/12/03 , Mudawi H,Khartoum,7,25449238
Viral infection and oral habits as risk factors for oral squamous cell carcinoma in Yemen: a case-control study.,/pubmed/25442493,"Nasher AT, Al-Hebshi NN, Al-Moayad EE, Suleiman AM.",Oral Surg Oral Med Oral Pathol Oral Radiol. 2014 Nov;118(5):566-572.e1. doi: 10.1016/j.oooo.2014.08.005.,Oral Surg Oral Med Oral Pathol Oral Radiol, 2014,PubMed,citation,PMID:25442493,pubmed,25442493,2014/12/03 , Nasher AT,Khartoum,4,25442493
Cytotoxicity of the bisphenolic honokiol from Magnolia officinalis against multiple drug-resistant tumor cells as determined by pharmacogenomics and molecular docking.,/pubmed/25442261,"Saeed M, Kuete V, Kadioglu O, Börtzler J, Khalid H, Greten HJ, Efferth T.",Phytomedicine. 2014 Oct 15;21(12):1525-33. doi: 10.1016/j.phymed.2014.07.011.,Phytomedicine, 2014,PubMed,citation,PMID:25442261,pubmed,25442261,2014/12/03 , Saeed M,Khartoum,7,25442261
"Characteristics, complications, and gaps in evidence-based interventions in rheumatic heart disease: the Global Rheumatic Heart Disease Registry (the REMEDY study).",/pubmed/25425448,"Zühlke L, Engel ME, Karthikeyan G, Rangarajan S, Mackie P, Cupido B, Mauff K, Islam S, Joachim A, Daniels R, Francis V, Ogendo S, Gitura B, Mondo C, Okello E, Lwabi P, Al-Kebsi MM, Hugo-Hamman C, Sheta SS, Haileamlak A, Daniel W, Goshu DY, et al.",Eur Heart J. 2015 May 7;36(18):1115-22a. doi: 10.1093/eurheartj/ehu449.,Eur Heart J, 2015,PubMed,citation,PMID:25425448 | PMCID:PMC4422972,pubmed,25425448,2014/11/27 , Zühlke L,Khartoum,23,25425448 | PMCID:PMC4422972
"Risk and vulnerability of key populations to HIV infection in Iran; knowledge, attitude and practises of female sex workers, prison inmates and people who inject drugs.",/pubmed/25419677,"Khajehkazemi R, Haghdoost A, Navadeh S, Setayesh H, Sajadi L, Osooli M, Mostafavi E.",Sex Health. 2014 Dec;11(6):568-74. doi: 10.1071/SH14165.,Sex Health, 2014,PubMed,citation,PMID:25419677,pubmed,25419677,2014/11/25 , Khajehkazemi R,Khartoum,7,25419677
Leishmania donovani populations in Eastern Sudan: temporal structuring and a link between human and canine transmission.,/pubmed/25410888,"Baleela R, Llewellyn MS, Fitzpatrick S, Kuhls K, Schönian G, Miles MA, Mauricio IL.",Parasit Vectors. 2014 Nov 20;7:496. doi: 10.1186/s13071-014-0496-4.,Parasit Vectors, 2014,PubMed,citation,PMID:25410888 | PMCID:PMC4255451,pubmed,25410888,2014/11/21 , Baleela R,Khartoum,7,25410888 | PMCID:PMC4255451
IgG4 subclass-specific responses to Staphylococcus aureus antigens shed new light on host-pathogen interaction.,/pubmed/25404029,"Swierstra J, Debets S, de Vogel C, Lemmens-den Toom N, Verkaik N, Ramdani-Bouguessa N, Jonkman MF, van Dijl JM, Fahal A, van Belkum A, van Wamel W.",Infect Immun. 2015 Feb;83(2):492-501. doi: 10.1128/IAI.02286-14.,Infect Immun, 2015,PubMed,citation,PMID:25404029 | PMCID:PMC4294233,pubmed,25404029,2014/11/19 , Swierstra J,Khartoum,11,25404029 | PMCID:PMC4294233
Lactase persistence variants in Arabia and in the African Arabs.,/pubmed/25401983,"Priehodová E, Abdelsawy A, Heyer E, Cerný V.",Hum Biol. 2014 Winter;86(1):7-18.,Hum Biol, 2014,PubMed,citation,PMID:25401983,pubmed,25401983,2014/11/18 , Priehodová E,Khartoum,4,25401983
Immunophenotyping of Non-Hodgkin's lymphomas in Sudan.,/pubmed/25400849,"Hamid KH, Elduma AH, Mohamed BM, Salih MM.",Pan Afr Med J. 2014 May 24;18:82. doi: 10.11604/pamj.2014.18.82.3732.,Pan Afr Med J, 2014,PubMed,citation,PMID:25400849 | PMCID:PMC4231245,pubmed,25400849,2014/11/18 , Hamid KH,Khartoum,4,25400849 | PMCID:PMC4231245
Acrylamide analysis in food by liquid chromatographic and gas chromatographic methods.,/pubmed/25391433,"Elbashir AA, Omar MM, Ibrahim WA, Schmitz OJ, Aboul-Enein HY.",Crit Rev Anal Chem. 2014;44(2):107-41. doi: 10.1080/10408347.2013.829388. Review.,Crit Rev Anal Chem, 2014,PubMed,citation,PMID:25391433,pubmed,25391433,2014/11/14 , Elbashir AA,Khartoum,5,25391433
A study of correlations within the dimensions of lower limb parts for personal identification in a Sudanese population.,/pubmed/25386606,Ahmed AA.,ScientificWorldJournal. 2014;2014:541408. doi: 10.1155/2014/541408.,ScientificWorldJournal, 2014,PubMed,citation,PMID:25386606 | PMCID:PMC4216709,pubmed,25386606,2014/11/12 , Ahmed AA,Khartoum,1,25386606 | PMCID:PMC4216709
"Radiation exposure during paediatric CT in Sudan: CT dose, organ and effective doses.",/pubmed/25377750,"Suliman II, Khamis HM, Ombada TH, Alzimami K, Alkhorayef M, Sulieman A.",Radiat Prot Dosimetry. 2015 Dec;167(4):513-8. doi: 10.1093/rpd/ncu321.,Radiat Prot Dosimetry, 2015,PubMed,citation,PMID:25377750,pubmed,25377750,2014/11/08 , Suliman II,Khartoum,6,25377750
A comparison between transabdominal ultrasonographic and cystourethroscopy findings in adult Sudanese patients presenting with haematuria.,/pubmed/25374263,"Ahmed FO, Hamdan HZ, Abdelgalil HB, Sharfi AA.",Int Urol Nephrol. 2015 Feb;47(2):223-8. doi: 10.1007/s11255-014-0869-9.,Int Urol Nephrol, 2015,PubMed,citation,PMID:25374263,pubmed,25374263,2014/11/07 , Ahmed FO,Khartoum,4,25374263
High-Intensity Focused Ultrasound (HIFU) in Uterine Fibroid Treatment: Review Study.,/pubmed/25371765,"Mahmoud MZ, Alkhorayef M, Alzimami KS, Aljuhani MS, Sulieman A.",Pol J Radiol. 2014 Oct 30;79:384-90. doi: 10.12659/PJR.891110.,Pol J Radiol, 2014,PubMed,citation,PMID:25371765 | PMCID:PMC4218899,pubmed,25371765,2014/11/06 , Mahmoud MZ,Khartoum,5,25371765 | PMCID:PMC4218899
Sudanese community pharmacy practice and its readiness for change to patient care.,/pubmed/25371034,"Mohamed SS, Mahmoud AA, Ali AA.",Int J Pharm Pract. 2014 Nov 5. doi: 10.1111/ijpp.12156. [Epub ahead of print],Int J Pharm Pract, 2014,PubMed,citation,PMID:25371034,pubmed,25371034,2014/11/06 , Mohamed SS,Khartoum,3,25371034
Domestic violence against women in Eastern Sudan.,/pubmed/25370991,"Ali AA, Yassin K, Omer R.",BMC Public Health. 2014 Nov 4;14:1136. doi: 10.1186/1471-2458-14-1136.,BMC Public Health, 2014,PubMed,citation,PMID:25370991 | PMCID:PMC4391281,pubmed,25370991,2014/11/06 , Ali AA,Khartoum,3,25370991 | PMCID:PMC4391281
Relationship between oxidized low-density lipoprotein antibodies and obesity in different glycemic situations.,/pubmed/25368528,"Babakr AT, Elsheikh OM, Almarzouki AA, Assiri AM, Abdalla BE, Zaki HY, Fatani SH, NourEldin EM.",Diabetes Metab Syndr Obes. 2014 Oct 24;7:513-20. doi: 10.2147/DMSO.S70904.,Diabetes Metab Syndr Obes, 2014,PubMed,citation,PMID:25368528 | PMCID:PMC4216034,pubmed,25368528,2014/11/05 , Babakr AT,Khartoum,8,25368528 | PMCID:PMC4216034
Re-examination of renal allograft biopsy blocks for C4d positivity: missed cases of antibody mediated rejection.,/pubmed/25366507,"Mohamed HE, Hammad II, Elamin S, Elamin EM, Ibrahim AI, El-Magzoub AR, Farragallah IA, Elhasan LA, Elhasan AM.",Arab J Nephrol Transplant. 2014 May;7(2):113-7.,Arab J Nephrol Transplant, 2014,PubMed,citation,PMID:25366507,pubmed,25366507,2014/11/05 , Mohamed HE,Khartoum,9,25366507
Prognosis of acute post-streptococcal glomerulonephritis in Sudanese children.,/pubmed/25366505,"Ali el-TM, Babikir AM, El-Assad S, Abdelrahim MB.",Arab J Nephrol Transplant. 2014 May;7(2):103-7.,Arab J Nephrol Transplant, 2014,PubMed,citation,PMID:25366505,pubmed,25366505,2014/11/05 , Ali el-TM,Khartoum,4,25366505
Editorial.,/pubmed/25366501,Abu-Aisha H.,Arab J Nephrol Transplant. 2014 May;7(2):81. No abstract available.,Arab J Nephrol Transplant, 2014,PubMed,citation,PMID:25366501,pubmed,25366501,2014/11/05 , Abu-Aisha H,Khartoum,1,25366501
Comparison of phenotypic characteristics and antimicrobial resistance patterns of clinical Escherichia coli collected from two unrelated geographical areas.,/pubmed/25363111,"Ibrahim ME, Bilal NE, Hamid ME.",Glob J Health Sci. 2014 Jul 15;6(6):126-35. doi: 10.5539/gjhs.v6n6p126.,Glob J Health Sci, 2014,PubMed,citation,PMID:25363111 | PMCID:PMC4825506,pubmed,25363111,2014/11/05 , Ibrahim ME,Khartoum,3,25363111 | PMCID:PMC4825506
The ethnic distribution of sickle cell disease in Sudan.,/pubmed/25360197,"Sabahelzain MM, Hamamy H.",Pan Afr Med J. 2014 May 3;18:13. doi: 10.11604/pamj.2014.18.13.3280. Review.,Pan Afr Med J, 2014,PubMed,citation,PMID:25360197 | PMCID:PMC4213521,pubmed,25360197,2014/11/02 , Sabahelzain MM,Khartoum,2,25360197 | PMCID:PMC4213521
A new model for management of mycetoma in the Sudan.,/pubmed/25356640,"Fahal A, Mahgoub el S, El Hassan AM, Abdel-Rahman ME, Alshambaty Y, Hashim A, Hago A, Zijlstra EE.",PLoS Negl Trop Dis. 2014 Oct 30;8(10):e3271. doi: 10.1371/journal.pntd.0003271.,PLoS Negl Trop Dis, 2014,PubMed,citation,PMID:25356640 | PMCID:PMC4214669,pubmed,25356640,2014/10/31 , Fahal A,Khartoum,8,25356640 | PMCID:PMC4214669
Familial tumoral calcinosis.,/pubmed/25351424,"Alkhatib A, Burton LE, Carachi R.",Scott Med J. 2014 Nov;59(4):e17-20. doi: 10.1177/0036933014557416.,Scott Med J, 2014,PubMed,citation,PMID:25351424,pubmed,25351424,2014/10/30 , Alkhatib A,Khartoum,3,25351424
Surgery as a career choice among medical students at University of Medical Sciences and Technology.,/pubmed/25346566,"Alawad AA, Khan WS, Abdelrazig YM, Elzain YI, Khalil HO, Elsayed OB, Adam OA.",Sudan Med J. 2014 Apr;50(1):26-31.,Sudan Med J, 2014,PubMed,citation,PMID:25346566,pubmed,25346566,2014/10/28 , Alawad AA,Khartoum,7,25346566
"Knowledge, Attitude, and Practice of Clerical Students with Respect to HIV/AIDS in Iran, 2011.",/pubmed/25344879,"Shamsipour M, Khajehkazemi R, Haghdoost AA, Setayesh H, KarimanMajd S, Mostafavi E.",J Relig Health. 2016 Feb;55(1):26-37. doi: 10.1007/s10943-014-9964-6.,J Relig Health, 2016,PubMed,citation,PMID:25344879,pubmed,25344879,2014/10/27 , Shamsipour M,Khartoum,6,25344879
"IgG1 as a potential biomarker of post-chemotherapeutic relapse in visceral leishmaniasis, and adaptation to a rapid diagnostic test.",/pubmed/25340782,"Bhattacharyya T, Ayandeh A, Falconar AK, Sundar S, El-Safi S, Gripenberg MA, Bowes DE, Thunissen C, Singh OP, Kumar R, Ahmed O, Eisa O, Saad A, Silva Pereira S, Boelaert M, Mertens P, Miles MA.",PLoS Negl Trop Dis. 2014 Oct 23;8(10):e3273. doi: 10.1371/journal.pntd.0003273.,PLoS Negl Trop Dis, 2014,PubMed,citation,PMID:25340782 | PMCID:PMC4207679,pubmed,25340782,2014/10/24 , Bhattacharyya T,Khartoum,17,25340782 | PMCID:PMC4207679
Recent outbreaks of rift valley Fever in East Africa and the middle East.,/pubmed/25340047,"Himeidan YE, Kweka EJ, Mahgoub MM, El Rayah el A, Ouma JO.",Front Public Health. 2014 Oct 6;2:169. doi: 10.3389/fpubh.2014.00169. Review.,Front Public Health, 2014,PubMed,citation,PMID:25340047 | PMCID:PMC4186272,pubmed,25340047,2014/10/24 , Himeidan YE,Khartoum,5,25340047 | PMCID:PMC4186272
Mycetoma medical therapy.,/pubmed/25330342,"Welsh O, Al-Abdely HM, Salinas-Carmona MC, Fahal AH.",PLoS Negl Trop Dis. 2014 Oct 16;8(10):e3218. doi: 10.1371/journal.pntd.0003218. Review.,PLoS Negl Trop Dis, 2014,PubMed,citation,PMID:25330342 | PMCID:PMC4199551,pubmed,25330342,2014/10/21 , Welsh O,Khartoum,4,25330342 | PMCID:PMC4199551
Mapping the potential risk of mycetoma infection in Sudan and South Sudan using ecological niche modeling.,/pubmed/25330098,"Samy AM, van de Sande WW, Fahal AH, Peterson AT.",PLoS Negl Trop Dis. 2014 Oct 16;8(10):e3250. doi: 10.1371/journal.pntd.0003250.,PLoS Negl Trop Dis, 2014,PubMed,citation,PMID:25330098 | PMCID:PMC4199553,pubmed,25330098,2014/10/21 , Samy AM,Khartoum,4,25330098 | PMCID:PMC4199553
"Effect of fermentation on antinutrients, and total and extractable minerals of high and low phytate corn genotypes.",/pubmed/25328202,"Sokrab AM, Mohamed Ahmed IA, Babiker EE.",J Food Sci Technol. 2014 Oct;51(10):2608-15. doi: 10.1007/s13197-012-0787-8.,J Food Sci Technol, 2014,PubMed,citation,PMID:25328202 | PMCID:PMC4190255,pubmed,25328202,2014/10/21 , Sokrab AM,Khartoum,3,25328202 | PMCID:PMC4190255
Thrombin Generation among Sudanese Patients with Hematological Malignancies.,/pubmed/25316386,"Ehab AM, Fathelrahman MH, Babiker AM.",Gulf J Oncolog. 2014 Jul;1(16):7-13.,Gulf J Oncolog, 2014,PubMed,citation,PMID:25316386,pubmed,25316386,2014/10/16 , Ehab AM,Khartoum,3,25316386
Title,URL,Description,Details,ShortDetails,NA,Resource,Type,Identifiers,Db,EntrezUID,Properties,NA,Khartoum,1,Identifiers
Screening and characterization of RAPD markers in viscerotropic Leishmania parasites.,/pubmed/25313833,"Mkada-Driss I, Lahmadi R, Chakroun AS, Talbi C, Guerbouj S, Driss M, Elamine EM, Cupolillo E, Mukhtar MM, Guizani I.",PLoS One. 2014 Oct 14;9(10):e109773. doi: 10.1371/journal.pone.0109773.,PLoS One, 2014,PubMed,citation,PMID:25313833 | PMCID:PMC4196940,pubmed,25313833,2014/10/15 , Mkada-Driss I,Khartoum,10,25313833 | PMCID:PMC4196940
"Prevalence, risk factors, and clinical manifestations of schistosomiasis among school children in the White Nile River basin, Sudan.",/pubmed/25312470,"Ismail HA, Hong ST, Babiker AT, Hassan RM, Sulaiman MA, Jeong HG, Kong WH, Lee SH, Cho HI, Nam HS, Oh CH, Lee YH.",Parasit Vectors. 2014 Oct 15;7:478. doi: 10.1186/s13071-014-0478-6.,Parasit Vectors, 2014,PubMed,citation,PMID:25312470 | PMCID:PMC4200116,pubmed,25312470,2014/10/15 , Ismail HA,Khartoum,12,25312470 | PMCID:PMC4200116
Comparison of point-of-care tests for the rapid diagnosis of visceral leishmaniasis in East African patients.,/pubmed/25311696,"Bezuneh A, Mukhtar M, Abdoun A, Teferi T, Takele Y, Diro E, Jemaneh A, Shiferaw W, Wondimu H, Bhatia A, Howard RF, Ghalib H, Ireton GC, Hailu A, Reed SG.",Am J Trop Med Hyg. 2014 Dec;91(6):1109-15. doi: 10.4269/ajtmh.13-0759.,Am J Trop Med Hyg, 2014,PubMed,citation,PMID:25311696 | PMCID:PMC4257631,pubmed,25311696,2014/10/15 , Bezuneh A,Khartoum,15,25311696 | PMCID:PMC4257631
Historical demographic profiles and genetic variation of the East African Butana and Kenana indigenous dairy zebu cattle.,/pubmed/25308478,"Salim B, Taha KM, Hanotte O, Mwacharo JM.",Anim Genet. 2014 Dec;45(6):782-90. doi: 10.1111/age.12225.,Anim Genet, 2014,PubMed,citation,PMID:25308478,pubmed,25308478,2014/10/14 , Salim B,Khartoum,4,25308478
Supramolecular interaction of Moxifloxacin and β-cyclodextrin spectroscopic characterization and analytical application.,/pubmed/25277628,"Dsugi NF, Elbashir AA.",Spectrochim Acta A Mol Biomol Spectrosc. 2015 Feb 25;137:804-9. doi: 10.1016/j.saa.2014.08.081.,Spectrochim Acta A Mol Biomol Spectrosc, 2015,PubMed,citation,PMID:25277628,pubmed,25277628,2014/10/04 , Dsugi NF,Khartoum,2,25277628
A study of the anthropometric correlations between upper limb measurements for personal identification in Sudanese population.,/pubmed/25277498,Ahmed AA.,Homo. 2014 Dec;65(6):489-98. doi: 10.1016/j.jchb.2014.08.002.,Homo, 2014,PubMed,citation,PMID:25277498,pubmed,25277498,2014/10/04 , Ahmed AA,Khartoum,1,25277498
Antimycobacterial activity of selected medicinal plants traditionally used in Sudan to treat infectious diseases.,/pubmed/25261689,"Abuzeid N, Kalsum S, Koshy RJ, Larsson M, Glader M, Andersson H, Raffetseder J, Pienaar E, Eklund D, Alhassan MS, AlGadir HA, Koko WS, Schön T, Ahmed Mesaik M, Abdalla OM, Khalid A, Lerm M.",J Ethnopharmacol. 2014 Nov 18;157:134-9. doi: 10.1016/j.jep.2014.09.020.,J Ethnopharmacol, 2014,PubMed,citation,PMID:25261689,pubmed,25261689,2014/09/28 , Abuzeid N,Khartoum,17,25261689
A Comparative Study of Newly Developed HPLC-DAD and UHPLC-UV Assays for the Determination of Posaconazole in Bulk Powder and Suspension Dosage Form.,/pubmed/25258695,"Hamdy DA, Belal TS.",J Anal Methods Chem. 2014;2014:241035. doi: 10.1155/2014/241035.,J Anal Methods Chem, 2014,PubMed,citation,PMID:25258695 | PMCID:PMC4167226,pubmed,25258695,2014/09/27 , Hamdy DA,Khartoum,2,25258695 | PMCID:PMC4167226
"The African baobab (Adansonia digitata, Malvaceae): genetic resources in neglected populations of the Nuba Mountains, Sudan.",/pubmed/25253710,"Wiehle M, Prinz K, Kehlenbeck K, Goenster S, Mohamed SA, Finkeldey R, Buerkert A, Gebauer J.",Am J Bot. 2014 Sep;101(9):1498-507. doi: 10.3732/ajb.1400198.,Am J Bot, 2014,PubMed,citation,PMID:25253710,pubmed,25253710,2014/09/26 , Wiehle M,Khartoum,8,25253710
Alternatively spliced transcripts and novel pseudogenes of the Plasmodium falciparum resistance-associated locus pfcrt detected in East African malaria patients.,/pubmed/25253286,"Gadalla NB, Malmberg M, Adam I, Oguike MC, Beshir K, Elzaki SE, Mukhtar I, Gadalla AA, Warhurst DC, Ngasala B, Mårtensson A, El-Sayed BB, Gil JP, Sutherland CJ.",J Antimicrob Chemother. 2015 Jan;70(1):116-23. doi: 10.1093/jac/dku358.,J Antimicrob Chemother, 2015,PubMed,citation,PMID:25253286 | PMCID:PMC4267505,pubmed,25253286,2014/09/26 , Gadalla NB,Khartoum,14,25253286 | PMCID:PMC4267505
Cervical Pott's disease presenting as a Retropharyngeal Abscess: Controlled by Aspiration and Anti-tuberculous chemotherapy.,/pubmed/25242860,"Alawad AA, Khalifa AF.",Sudan Med J. 2013 Aug 1;49(2):97-100.,Sudan Med J, 2013,PubMed,citation,PMID:25242860,pubmed,25242860,2014/09/23 , Alawad AA,Khartoum,2,25242860
Renal complications of beta-thalassemia major in children.,/pubmed/25232499,"Bakr A, Al-Tonbary Y, Osman G, El-Ashry R.",Am J Blood Res. 2014 Sep 5;4(1):1-6. Review.,Am J Blood Res, 2014,PubMed,citation,PMID:25232499 | PMCID:PMC4165117,pubmed,25232499,2014/09/19 , Bakr A,Khartoum,4,25232499 | PMCID:PMC4165117
Oxidized low density lipoprotein and total antioxidant capacity in type-2 diabetic and impaired glucose tolerance Saudi men.,/pubmed/25221629,"Nour Eldin EE, Almarzouki A, Assiri AM, Elsheikh OM, Mohamed BE, Babakr AT.",Diabetol Metab Syndr. 2014 Aug 30;6(1):94. doi: 10.1186/1758-5996-6-94.,Diabetol Metab Syndr, 2014,PubMed,citation,PMID:25221629 | PMCID:PMC4161898,pubmed,25221629,2014/09/16 , Nour Eldin EE,Khartoum,6,25221629 | PMCID:PMC4161898
"Use of healthcare services by injured people in Khartoum State, Sudan.",/pubmed/25205849,"El Tayeb S, Abdalla S, Van den Bergh G, Heuch I.",Int Health. 2015 May;7(3):183-9. doi: 10.1093/inthealth/ihu063.,Int Health, 2015,PubMed,citation,PMID:25205849 | PMCID:PMC4427533,pubmed,25205849,2014/09/11 , El Tayeb S,Khartoum,4,25205849 | PMCID:PMC4427533
Endophytes as producers of peptides: an overview about the recently discovered peptides from endophytic microbes.,/pubmed/25205333,"Abdalla MA, Matasyoh JC.",Nat Prod Bioprospect. 2014 Oct;4(5):257-70. doi: 10.1007/s13659-014-0038-y.,Nat Prod Bioprospect, 2014,PubMed,citation,PMID:25205333 | PMCID:PMC4199945,pubmed,25205333,2014/09/11 , Abdalla MA,Khartoum,2,25205333 | PMCID:PMC4199945
